Subject,Overall_Accuracy,Overall_F1,Rest_Accuracy,Elbow_Accuracy,Hand_Accuracy,Rest_Precision,Rest_Recall,Rest_F1,Elbow_Precision,Elbow_Recall,Elbow_F1,Hand_Precision,Hand_Recall,Hand_F1
sub-011,0.4567901234567901,0.45199190787426086,0.5925925925925926,0.4074074074074074,0.37037037037037035,0.4444444444444444,0.5925925925925926,0.5079365079365079,0.4583333333333333,0.4074074074074074,0.4313725490196078,0.47619047619047616,0.37037037037037035,0.4166666666666667
sub-012,0.6049382716049383,0.6021480471129182,0.7407407407407407,0.5185185185185185,0.5555555555555556,0.5882352941176471,0.7407407407407407,0.6557377049180328,0.56,0.5185185185185185,0.5384615384615384,0.6818181818181818,0.5555555555555556,0.6122448979591836
sub-013,0.3950617283950617,0.3924089181700423,0.5185185185185185,0.4074074074074074,0.25925925925925924,0.4117647058823529,0.5185185185185185,0.45901639344262296,0.5,0.4074074074074074,0.44897959183673464,0.28,0.25925925925925924,0.2692307692307692
sub-014,0.5925925925925926,0.5858553566354078,0.8148148148148148,0.5555555555555556,0.4074074074074074,0.5365853658536586,0.8148148148148148,0.6470588235294118,0.7894736842105263,0.5555555555555556,0.6521739130434783,0.5238095238095238,0.4074074074074074,0.4583333333333333
sub-015,0.6790123456790124,0.6761904761904761,0.7777777777777778,0.5555555555555556,0.7037037037037037,0.7241379310344828,0.7777777777777778,0.75,0.6521739130434783,0.5555555555555556,0.6,0.6551724137931034,0.7037037037037037,0.6785714285714286
sub-016,0.7901234567901234,0.7861727763205595,0.9629629629629629,0.6666666666666666,0.7407407407407407,0.8387096774193549,0.9629629629629629,0.896551724137931,0.8181818181818182,0.6666666666666666,0.7346938775510203,0.7142857142857143,0.7407407407407407,0.7272727272727273
sub-017,0.6790123456790124,0.6759376694808493,0.7777777777777778,0.7037037037037037,0.5555555555555556,0.65625,0.7777777777777778,0.711864406779661,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.6818181818181818,0.5555555555555556,0.6122448979591836
sub-018,0.48148148148148145,0.4765277777777777,0.6296296296296297,0.4074074074074074,0.4074074074074074,0.4594594594594595,0.6296296296296297,0.53125,0.5238095238095238,0.4074074074074074,0.4583333333333333,0.4782608695652174,0.4074074074074074,0.44000000000000006
sub-019,0.4691358024691358,0.44940476190476186,0.6666666666666666,0.5185185185185185,0.2222222222222222,0.4864864864864865,0.6666666666666666,0.5625,0.4827586206896552,0.5185185185185185,0.5,0.4,0.2222222222222222,0.2857142857142857
sub-020,0.5432098765432098,0.5392866824149015,0.6666666666666666,0.5555555555555556,0.4074074074074074,0.5142857142857142,0.6666666666666666,0.5806451612903226,0.625,0.5555555555555556,0.5882352941176471,0.5,0.4074074074074074,0.44897959183673464
sub-021,0.5555555555555556,0.5557244174265451,0.6666666666666666,0.5185185185185185,0.48148148148148145,0.5,0.6666666666666666,0.5714285714285715,0.7,0.5185185185185185,0.5957446808510639,0.52,0.48148148148148145,0.5
sub-022,0.5802469135802469,0.5808202423269503,0.6296296296296297,0.5925925925925926,0.5185185185185185,0.5666666666666667,0.6296296296296297,0.5964912280701755,0.6666666666666666,0.5925925925925926,0.627450980392157,0.5185185185185185,0.5185185185185185,0.5185185185185185
sub-023,0.6790123456790124,0.6623733403214535,0.9259259259259259,0.7037037037037037,0.4074074074074074,0.6756756756756757,0.9259259259259259,0.7812500000000001,0.7307692307692307,0.7037037037037037,0.7169811320754716,0.6111111111111112,0.4074074074074074,0.4888888888888889
sub-024,0.6172839506172839,0.6150701934600239,0.6296296296296297,0.7407407407407407,0.48148148148148145,0.53125,0.6296296296296297,0.5762711864406779,0.7142857142857143,0.7407407407407407,0.7272727272727273,0.6190476190476191,0.48148148148148145,0.5416666666666666
sub-025,0.691358024691358,0.6898148148148149,0.7407407407407407,0.7777777777777778,0.5555555555555556,0.6060606060606061,0.7407407407407407,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7142857142857143,0.5555555555555556,0.6250000000000001
